DRAW 0.277244 0.008410 1.000000
DRAW 0.286375 0.011494 1.000000
DRAW 0.295507 0.014607 1.000000
DRAW 0.304109 0.019198 1.000000
DRAW 0.312879 0.023677 1.000000
DRAW 0.320634 0.029530 1.000000
DRAW 0.328936 0.034652 1.000000
DRAW 0.336017 0.041733 1.000000
DRAW 0.343350 0.048507 1.000000
DRAW 0.351399 0.053935 1.000000
DRAW 0.358480 0.061016 1.000000
DRAW 0.365560 0.068096 1.000000
DRAW 0.372641 0.075177 1.000000
DRAW 0.377932 0.083332 1.000000
DRAW 0.384843 0.090559 1.000000
DRAW 0.389965 0.098861 1.000000
DRAW 0.395089 0.107163 1.000000
DRAW 0.400338 0.115353 1.000000
DRAW 0.405333 0.123767 1.000000
DRAW 0.410482 0.132045 1.000000
DRAW 0.413402 0.141263 1.000000
DRAW 0.417878 0.149917 1.000000
DRAW 0.420982 0.159050 1.000000
DRAW 0.424980 0.168023 1.000000
DRAW 0.431739 0.175308 1.000000
DRAW 0.441436 0.176932 1.000000
DRAW 0.451277 0.175844 1.000000
DRAW 0.452372 0.178955 1.000000
DRAW 0.445331 0.186073 1.000000
DRAW 0.440169 0.194338 1.000000
DRAW 0.431867 0.199460 1.000000
DRAW 0.424787 0.206540 1.000000
DRAW 0.416485 0.211662 1.000000
DRAW 0.409404 0.218743 1.000000
DRAW 0.401567 0.224470 1.000000
DRAW 0.393695 0.230303 1.000000
DRAW 0.385720 0.236068 1.000000
DRAW 0.377419 0.241190 1.000000
DRAW 0.369116 0.246313 1.000000
DRAW 0.360842 0.251464 1.000000
DRAW 0.352500 0.255710 1.000000
DRAW 0.344486 0.261403 1.000000
DRAW 0.336184 0.266526 1.000000
DRAW 0.327779 0.271399 1.000000
DRAW 0.318635 0.274536 1.000000
DRAW 0.310404 0.279737 1.000000
DRAW 0.301788 0.284295 1.000000
DRAW 0.292655 0.287405 1.000000
DRAW 0.283667 0.291352 1.000000
DRAW 0.274986 0.295984 1.000000
DRAW 0.266261 0.300314 1.000000
DRAW 0.257124 0.303402 1.000000
DRAW 0.248183 0.307496 1.000000
DRAW 0.239014 0.310493 1.000000
DRAW 0.230355 0.315160 1.000000
DRAW 0.221134 0.318077 1.000000
DRAW 0.211924 0.321007 1.000000
DRAW 0.202723 0.323951 1.000000
DRAW 0.193532 0.326909 1.000000
DRAW 0.184350 0.329882 1.000000
DRAW 0.175176 0.332869 1.000000
DRAW 0.165885 0.334992 1.000000
DRAW 0.156043 0.336077 1.000000
DRAW 0.146876 0.339078 1.000000
DRAW 0.137619 0.341375 1.000000
DRAW 0.128492 0.344531 1.000000
DRAW 0.118580 0.345297 1.000000
DRAW 0.109353 0.347711 1.000000
DRAW 0.099941 0.350179 1.000000
DRAW 0.090213 0.350898 1.000000
DRAW 0.081087 0.354070 1.000000
DRAW 0.071074 0.354081 1.000000
DRAW 0.061947 0.357250 1.000000
DRAW 0.051934 0.357250 1.000000
DRAW 0.041921 0.357250 1.000000
DRAW 0.031908 0.357250 1.000000
DRAW 0.021894 0.357250 1.000000
DRAW 0.011881 0.357250 1.000000
DRAW 0.001909 0.357668 1.000000
DRAW -0.007179 0.360237 1.000000
DRAW -0.016385 0.357250 1.000000
DRAW -0.025512 0.354070 1.000000
DRAW -0.034638 0.350890 1.000000
DRAW -0.043786 0.347984 1.000000
DRAW -0.052926 0.344907 1.000000
DRAW -0.061715 0.340700 1.000000
DRAW -0.070351 0.335998 1.000000
DRAW -0.079522 0.333006 1.000000
DRAW -0.088449 0.328872 1.000000
DRAW -0.096322 0.323039 1.000000
DRAW -0.105331 0.319165 1.000000
DRAW -0.114461 0.316042 1.000000
DRAW -0.122306 0.310112 1.000000
